event_id,event_name,event_type,category,mode,location,start_date,end_date,start_time,end_time,registration_fee_inr,is_free,organizer,required_skills,target_audience,difficulty,status_as_of_2026_09_01,description_short
EVT001,HACKNIMA 2026,Hackathon,Academic & Professional,Online,Online,2026-08-01,2026-10-31,09:00,21:00,0.0,True,Poornima University / ECLearnix,Python;Problem Solving;EdTech,Students;Developers;Designers;Innovators,Intermediate,Upcoming,National-level online hackathon
EVT002,HackACE 2026,Hackathon,Academic & Professional,Online,Online,2026-07-13,2026-09-13,,,0.0,True,KPR Institute of Engineering and Technology / AllCollegeEvent,Programming;AI;Problem Solving,Students;Innovators;Developers;Designers,Intermediate,Upcoming,International-level innovation challenge
EVT003,HackGURU 2026,Hackathon,Academic & Professional,Offline,Coimbatore,2026-08-04,2026-09-10,,,0.0,True,Kumaraguru College of Technology / ECLearnix,AI;Programming;Problem Solving,KCT Students,Intermediate,Ongoing,Exclusive KCT hackathon
EVT004,HACKVERSE 2.0,Hackathon,Academic & Professional,Offline,Coimbatore,2026-09-25,2026-09-25,09:00,,600.0,False,Karpagam College of Engineering,Programming;Innovation;Problem Solving,College Students,Intermediate,Upcoming,Next-gen hackathon
EVT005,HackITon'26,Hackathon,Academic & Professional,Offline,Coimbatore,2026-10-08,2026-10-09,,,500.0,False,KPR Institute of Engineering and Technology,Programming;Teamwork;Problem Solving,College Students,Intermediate,Upcoming,24-hour inter-college hackathon
EVT006,ICAIDIET'26,Conference,Academic & Professional,Hybrid,Coimbatore,2026-11-20,2026-11-21,,,2000.0,False,SNS College of Technology,AI;Engineering;Research,Researchers;Academicians;Industry;Students,Advanced,Upcoming,International AI-driven engineering conference
EVT007,Hands on Training in Plant Tissue Culture Techniques 2026,Training,Academic & Professional,Offline,Coimbatore,2026-12-15,2026-12-18,,,3540.0,False,Tamil Nadu Agricultural University,Plant Tissue Culture;Biotechnology;Lab Skills,Students;Researchers;Faculty,Intermediate,Upcoming,Hands-on plant tissue culture training
EVT008,GENESIS'26 / Valorant 2026,Esports,Academic & Professional,Offline,Chennai,2026-09-02,2026-09-02,,,500.0,False,GENESIS'26,Teamwork;Communication;Strategy,College Students,Intermediate,Upcoming,Competitive tactical esports
EVT009,GENESIS'26 / Space Age 2026,Workshop,Academic & Professional,Offline,Chennai,2026-09-02,2026-09-02,,,75.0,False,GENESIS'26,AI Agents;Claude;GPT;Gemini,College Students;AI Enthusiasts,Intermediate,Upcoming,Hands-on AI agents session
EVT010,GENESIS'26 / Free Fire,Esports,Academic & Professional,Offline,Chennai,2026-09-02,2026-09-02,,,280.0,False,GENESIS'26,Teamwork;Strategy;Communication,College Students,Intermediate,Upcoming,Competitive esports battle
EVT011,GENESIS'26 / Silent Stroke,Creative Competition,Academic & Professional,Offline,Chennai,2026-09-02,2026-09-02,,,0.0,True,GENESIS'26,Creativity;Communication;Teamwork,College Students,Beginner,Upcoming,Drawing relay challenge
EVT012,GENESIS'26 / Lost in Space,Treasure Hunt,Academic & Professional,Offline,Chennai,2026-09-02,2026-09-02,,,225.0,False,GENESIS'26,Problem Solving;Teamwork;Logical Reasoning,College Students,Intermediate,Upcoming,Treasure hunt and puzzle challenge
EVT013,GENESIS'26 / Martian Chronicles,Coding Competition,Academic & Professional,Offline,Chennai,2026-09-02,2026-09-02,,,90.0,False,GENESIS'26,Programming;Logical Reasoning;Problem Solving,College Students,Intermediate,Upcoming,Fast-paced coding challenge
EVT014,GENESIS'26 / Cosmic Quest,Technical Competition,Academic & Professional,Offline,Chennai,2026-09-02,2026-09-02,,,85.0,False,GENESIS'26,Coding;AI;Technology;Logical Reasoning,College Students,Intermediate,Upcoming,Technical challenge
EVT015,"Waste Valorization, Resource Recovery and Sustainable Technologies 2026",Workshop,Academic & Professional,Offline,Chennai,2026-09-02,2026-09-02,,,300.0,False,Workshop Organizer,Waste Management;Sustainability;Resource Recovery,Students;Researchers;Industry Professionals,Intermediate,Upcoming,Expert-led sustainability workshop
EVT016,Advanced Waste Valorization Technologies Workshop 2026,Workshop,Academic & Professional,Offline,Chennai,2026-09-03,2026-09-03,,,300.0,False,Workshop Organizer,Sustainability;Circular Economy;Resource Recovery,Students;Researchers;Industry Professionals,Intermediate,Upcoming,Expert talks and practical insights
EVT017,"Advancement in Antenna Design and Optimization Using RIS, Metasurfaces for Defence and Stealth Applications",Workshop,Academic & Professional,Hybrid,Perundurai,2026-09-07,2026-09-11,,,300.0,False,Event Organizer,Antenna Design;RF;Metasurfaces;Engineering,Engineering Students;Researchers,Advanced,Upcoming,Technical workshop
EVT018,National Level Project Expo 2026,Project Expo,Community & Social Events,Offline,Hyderabad,2026-09-02,2026-10-02,10:00,,0.0,True,Geethanjali College of Engineering and Technology,Project Development;Presentation;Innovation,Engineering Students,Intermediate,Upcoming,National project showcase and competition
EVT019,ICAiECSM 2026,Conference,Academic & Professional,Online,Online,2026-09-26,2026-09-27,,,200.0,False,Conference Organizer,AI;Research;Engineering;Science;Management,Researchers;Academicians;Industry;Students,Advanced,Upcoming,International AI conference
